"CAL_MONTH_KEY","INDEX_NAME","AVG_ADJ_CLOSE","FED_FUNDS","FED_FUNDS_LAG1","FED_FUNDS_CHG","FED_FUNDS_PCT_CHG","FED_FUNDS_PCT_CHG_SMA","INFLATION","INFLATION_LAG1","INFLATION_CHG","INFLATION_PCT_CHG","INFLATION_PCT_CHG_SMA","UNEMPLOYMENT","UNEMPLOYMENT_LAG1","UNEMPLOYMENT_CHG","UNEMPLOYMENT_PCT_CHG","UNEMPLOYMENT_PCT_CHG_SMA"
201009,"S&P 500",1122.08,0.19,0.19,0,0,0.02,0.87,0.84,0.03,0.04,0.03,9.5,9.5,0,0,0
201010,"S&P 500",1171.58,0.19,0.19,0,0,0.02,0.78,0.87,-0.09,-0.1,-0.02,9.4,9.5,-0.1,-0.01,0
201011,"S&P 500",1198.89,0.19,0.19,0,0,0,0.83,0.78,0.05,0.06,0,9.8,9.4,0.4,0.04,0.01
201012,"S&P 500",1241.53,0.18,0.19,-0.01,-0.05,-0.02,0.88,0.83,0.05,0.06,0.01,9.3,9.8,-0.5,-0.05,-0.01
201101,"S&P 500",1282.62,0.17,0.18,-0.01,-0.06,-0.04,0.99,0.88,0.11,0.13,0.08,9.2,9.3,-0.1,-0.01,-0.01
201102,"S&P 500",1321.12,0.16,0.17,-0.01,-0.06,-0.06,1.15,0.99,0.16,0.16,0.12,9,9.2,-0.2,-0.02,-0.03
201103,"S&P 500",1304.49,0.14,0.16,-0.02,-0.13,-0.08,1.28,1.15,0.13,0.11,0.13,9,9,0,0,-0.01
201104,"S&P 500",1331.51,0.1,0.14,-0.04,-0.29,-0.16,1.41,1.28,0.13,0.1,0.13,9.1,9,0.1,0.01,0
201105,"S&P 500",1338.31,0.09,0.1,-0.01,-0.1,-0.17,1.55,1.41,0.14,0.1,0.1,9,9.1,-0.1,-0.01,0
201106,"S&P 500",1287.29,0.09,0.09,0,0,-0.13,1.62,1.55,0.07,0.05,0.08,9.1,9,0.1,0.01,0
201107,"S&P 500",1325.18,0.07,0.09,-0.02,-0.22,-0.11,1.7,1.62,0.08,0.05,0.06,9,9.1,-0.1,-0.01,0
201108,"S&P 500",1185.31,0.1,0.07,0.03,0.43,0.07,1.79,1.7,0.09,0.05,0.05,9,9,0,0,0
201109,"S&P 500",1173.88,0.08,0.1,-0.02,-0.2,0,1.84,1.79,0.05,0.03,0.04,9,9,0,0,0
201110,"S&P 500",1207.22,0.07,0.08,-0.01,-0.13,0.03,1.93,1.84,0.09,0.05,0.04,8.8,9,-0.2,-0.02,-0.01
201111,"S&P 500",1226.41,0.08,0.07,0.01,0.14,-0.06,2,1.93,0.07,0.04,0.04,8.6,8.8,-0.2,-0.02,-0.01
201112,"S&P 500",1243.32,0.07,0.08,-0.01,-0.13,-0.04,2.06,2,0.06,0.03,0.04,8.5,8.6,-0.1,-0.01,-0.02
201201,"S&P 500",1300.58,0.08,0.07,0.01,0.14,0.05,2.1,2.06,0.04,0.02,0.03,8.3,8.5,-0.2,-0.02,-0.02
201202,"S&P 500",1352.49,0.1,0.08,0.02,0.25,0.09,2.03,2.1,-0.07,-0.03,0.01,8.3,8.3,0,0,-0.01
201203,"S&P 500",1389.24,0.13,0.1,0.03,0.3,0.23,2.02,2.03,-0.01,0,-0.01,8.2,8.3,-0.1,-0.01,-0.01
201204,"S&P 500",1386.43,0.14,0.13,0.01,0.08,0.21,2,2.02,-0.02,-0.01,-0.02,8.2,8.2,0,0,0
201205,"S&P 500",1341.27,0.16,0.14,0.02,0.14,0.17,1.93,2,-0.07,-0.04,-0.02,8.2,8.2,0,0,0
201206,"S&P 500",1323.48,0.16,0.16,0,0,0.07,1.9,1.93,-0.03,-0.02,-0.02,8.2,8.2,0,0,0
201207,"S&P 500",1359.78,0.16,0.16,0,0,0.05,1.85,1.9,-0.05,-0.03,-0.03,8.2,8.2,0,0,0
